,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,JPM,BAC,GS,XOM,CVX,JNJ,PFE,KO,PEP,PG,WMT,HD,DIS,NFLX
2024-01-05,0.07403785335811411,0.0653831841890793,0.052935522841439535,0.01874377453880585,0.017606462317022894,0.03151885244529019,0.037401987569324016,0.08613669321784433,0.0844872909763588,0.068105352790454,0.057806292594533244,0.0665145356006621,0.08414878078305078,0.03686809263394854,0.030113069805310227,0.020410641092600046,0.035462872897131736,0.033386109232701716,0.031298785913127104,0.04284326677478735,0.024790578428414103
2024-01-12,0.07185748475427897,0.05956850541403862,0.05440292670280294,0.017905246054327157,0.018464297287108928,0.03349024949943726,0.04750081677936921,0.08258655472722363,0.0814524483174352,0.0658607317106774,0.05612635480341825,0.0614668656453831,0.08154113359033907,0.03735159883766743,0.031206767355606572,0.02236018138405233,0.04598386252720633,0.033604589326003034,0.03262535494692759,0.0372589491205525,0.02738508121614438
2024-01-19,0.07175310505620545,0.05941928892893212,0.0491149289597858,0.018655966994093946,0.02013941128740936,0.032993476112639725,0.037661427205815425,0.08002938587653273,0.08041287160541187,0.06599054981266787,0.054184483297293154,0.05355303798391907,0.08242658795720667,0.04910691234391664,0.03120436357295012,0.023037622566983936,0.034224528995107445,0.05856765891134961,0.03198024560671533,0.037507299170209236,0.02803684775485457
2024-01-26,0.07187621650800378,0.023828155428475953,0.044634086438361524,0.024597836622603227,0.019550511944732448,0.045945620537605356,0.03562616529263741,0.08529369513807333,0.08527400065184555,0.07058323242667218,0.05406520251075801,0.051955587361981796,0.07903564580762362,0.03829127052734565,0.030391885811168237,0.023003206921525816,0.03456317034845112,0.043573438264071014,0.03342742582186564,0.03666993331850723,0.0678137123176911
2024-02-02,0.07211161493351959,0.024812129364103503,0.0439044391308682,0.017410452647496435,0.019037376515091197,0.02259899359527724,0.0351471304089389,0.0847841435076382,0.08701670501034943,0.021439435697651027,0.055552302363163754,0.05481335604839362,0.0830879502212614,0.03771992593936544,0.031773573845965075,0.02312964181256686,0.0759961910936947,0.06070603392715869,0.033914019272136074,0.04809913484347164,0.06694544982188905
2024-02-09,0.07203805212081144,0.0255632709723004,0.0434371773586385,0.017388324017732614,0.01820494479023335,0.046612591359243546,0.031651717120019164,0.08593438257259767,0.0859433130390119,0.032253812349105584,0.06531792692405895,0.0566596056235789,0.08229404739740351,0.04084633966330058,0.03166818371328689,0.011650802964909234,0.03811231738869633,0.033221325485528794,0.034394723479914124,0.08018154443250385,0.06662559722712473
2024-02-16,0.07428196994054719,0.01684511356061624,0.04320746999702207,0.016954586475882574,0.01884264455816158,0.03700520596859899,0.032737969748800055,0.08585635156138581,0.08890585830260193,0.03158365514967818,0.06421067698381319,0.041271036332827235,0.07941720280154953,0.023129485318395978,0.030883927838891604,0.022943708499227434,0.0374596147985374,0.0591472076636352,0.03452147350573698,0.09001474147916887,0.07078009951492192
2024-02-23,0.05655001861818738,0.016231107808938768,0.04677149452877723,0.016776239940116455,0.02080871479068473,0.039009488061839695,0.03520507535435129,0.07927614393369967,0.08455631762901324,0.03348110559336144,0.07140535918386366,0.05816182072063036,0.06750464531374158,0.011136479728856187,0.031857703015059836,0.022035025526073507,0.05298841379665523,0.05847115941593109,0.045482175718661456,0.08411864642360634,0.06817286489795087
2024-03-01,0.0699876025710801,0.025660057855578858,0.042784566319503094,0.02665229068993147,0.030245410261215525,0.03708313887285658,0.028940063627122457,0.06759903495248631,0.0816297089272817,0.020825957856580507,0.0686788200209151,0.05562211067208811,0.06732282518998225,0.04329712555237252,0.02981349679875461,0.017047406949851872,0.07488541845634868,0.05703881687569164,0.04416838861800464,0.08166796381560609,0.029049795116747934
2024-03-08,0.0729922594523878,0.013674021230104853,0.08359577247645546,0.023543799989636724,0.017384598673578062,0.04038028767429803,0.07238845187814612,0.028380226629421374,0.08172699051453311,0.019796369776812296,0.059298224402935015,0.05547959265358736,0.08210433668657396,0.04282028389637222,0.027472189264419574,0.028347763246758122,0.03447043159251764,0.05848917851441442,0.043955376298898605,0.08444106906862618,0.02925877607952319
